time,lat,lon,速度,方向,type
2020-10-09 15:30:00,29.97266666666666,122.38580555555556,0.3,0.0,围网
2020-10-09 15:40:00,29.97266666666666,122.38605555555556,0.2,0.0,围网
2020-10-09 15:50:00,29.972638888888888,122.38602777777778,0.9,345.0,围网
2020-10-09 16:00:00,29.972819444444447,122.38631944444445,0.6,172.5,围网
2020-10-09 16:10:00,29.97300000000001,122.38661111111112,0.3,0.0,围网
2020-10-09 16:20:00,29.97325,122.38663888888892,1.5,207.0,围网
2020-10-09 16:30:00,29.972972222222207,122.39627777777778,9.4,74.0,围网
2020-10-09 16:40:00,29.97891666666667,122.42105555555555,7.0,60.0,围网
2020-10-09 16:50:00,29.9865,122.4445277777778,7.7,68.0,围网
2020-10-09 17:00:00,29.994194444444453,122.4685,4.8,74.0,围网
2020-10-09 17:10:00,30.000027777777767,122.49283333333334,8.5,78.0,围网
2020-10-09 17:20:00,30.005055555555558,122.51719444444444,8.5,81.0,围网
2020-10-09 17:30:00,30.010666666666665,122.54044444444445,8.3,67.0,围网
2020-10-09 17:40:00,30.015916666666666,122.56358333333333,7.3,63.0,围网
2020-10-09 17:50:00,30.02113888888889,122.5859722222222,5.6,94.0,围网
2020-10-09 18:00:00,30.02490972222222,122.60281944444444,6.1499999999999995,83.75,围网
2020-10-09 18:10:00,30.028680555555553,122.61966666666666,6.699999999999999,73.5,围网
2020-10-09 18:20:00,30.03608333333333,122.65197222222224,7.6,73.0,围网
2020-10-09 18:30:00,30.041083333333336,122.67408333333334,6.6,84.0,围网
2020-10-09 18:40:00,30.04608333333333,122.69488888888893,6.8,77.0,围网
2020-10-09 18:50:00,30.05086111111111,122.71591666666669,5.8,81.0,围网
2020-10-09 19:00:00,30.055722222222236,122.73655555555555,8.5,82.0,围网
2020-10-09 19:10:00,30.060472222222234,122.75808333333332,7.4,68.0,围网
2020-10-09 19:20:00,30.064166666666672,122.77381249999999,6.725,71.0,围网
2020-10-09 19:30:00,30.067861111111114,122.78954166666665,6.05,74.0,围网
2020-10-09 19:40:00,30.07433333333333,122.81808333333332,6.1,71.0,围网
2020-10-09 19:50:00,30.079,122.83766666666666,6.2,78.0,围网
2020-10-09 20:00:00,30.08363888888889,122.8577222222222,7.4,75.0,围网
2020-10-09 20:10:00,30.087972222222238,122.87741666666666,6.7,63.0,围网
2020-10-09 20:20:00,30.092666666666663,122.89747222222222,6.6,89.0,围网
2020-10-09 20:30:00,30.097361111111116,122.91755555555557,5.2,69.0,围网
